Name,Answers,Paid,Race1-PQ,Race1-1,Race1-2,Race1-3,Race1-DNF,Race1-BQ,Race2-PQ,Race2-1,Race2-2,Race2-3,Race2-DNF,Race2-BQ,Race3-PQ,Race3-1,Race3-2,Race3-3,Race3-DNF,Race3-BQ,Race4-PQ,Race4-1,Race4-2,Race4-3,Race4-DNF,Race4-BQ,Race5-PQ,Race5-1,Race5-2,Race5-3,Race5-DNF,Race5-BQ,Race6-PQ,Race6-1,Race6-2,Race6-3,Race6-DNF,Race6-BQ,Race7-PQ,Race7-1,Race7-2,Race7-3,Race7-DNF,Race7-BQ,Race8-PQ,Race8-1,Race8-2,Race8-3,Race8-DNF,Race8-BQ,Race9-PQ,Race9-1,Race9-2,Race9-3,Race9-DNF,Race9-BQ,Race10-PQ,Race10-1,Race10-2,Race10-3,Race10-DNF,Race10-BQ,Race11-PQ,Race11-1,Race11-2,Race11-3,Race11-DNF,Race11-BQ,Race12-PQ,Race12-1,Race12-2,Race12-3,Race12-DNF,Race12-BQ,Race13-PQ,Race13-1,Race13-2,Race13-3,Race13-DNF,Race13-BQ,Race14-PQ,Race14-1,Race14-2,Race14-3,Race14-DNF,Race14-BQ,Race15-PQ,Race15-1,Race15-2,Race15-3,Race15-DNF,Race15-BQ,Race16-PQ,Race16-1,Race16-2,Race16-3,Race16-DNF,Race16-BQ,Race17-PQ,Race17-1,Race17-2,Race17-3,Race17-DNF,Race17-BQ,Race18-PQ,Race18-1,Race18-2,Race18-3,Race18-DNF,Race18-BQ,Race19-PQ,Race19-1,Race19-2,Race19-3,Race19-DNF,Race19-BQ,Race20-PQ,Race20-1,Race20-2,Race20-3,Race20-DNF,Race20-BQ,Race21-PQ,Race21-1,Race21-2,Race21-3,Race21-DNF,Race21-BQ,Race22-PQ,Race22-1,Race22-2,Race22-3,Race22-DNF,Race22-BQ,Race23-PQ,Race23-1,Race23-2,Race23-3,Race23-DNF,Race23-BQ,Race24-PQ,Race24-1,Race24-2,Race24-3,Race24-DNF,Race24-BQ
_Result,,,,NOR,VER,RUS,SAI DOO BOR LAW ALO,NA,,PIA,NOR,RUS,ALO,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColmF,Y,Y,Post,RUS,TSU,ALB,NOR,,Post,NOR,PIA,VER,LAW,,Yes,PIA,NOR,RUS,DOO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DavidJ,Y,Y,Post,PIA,VER,HAM,ANT,,Post,PIA,NOR,RUS,DOO,,Yes,PIA,NOR,RUS,DOO,LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DayaraY,Y,Y,Post,VER,NOR,RUS,LAW,,Post,PIA,HAM,NOR,SAI,,Yes,PIA,NOR,VER,DOO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DearbhlaR,Y,Y,Post,PIA,NOR,SAI,BEA,,Post,PIA,NOR,RUS,DOO,,Yes,NOR,VER,PIA,STR,LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JacobG,Y,Y,Post,RUS,TSU,ALB,NOR,,Post,PIA,NOR,VER,LAW,,Yes,NOR,VER,LEC,LAW,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JasonD,Y,Y,Post,VER,PIA,NOR,BEA,,Post,PIA,NOR,HAM,DOO,,Yes,NOR,PIA,RUS,DOO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KrzysztofB,Y,Y,Post,NOR,VER,PIA,LAW,,Post,PIA,NOR,RUS,BEA,,,NOR,PIA,VER,DOO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatthewA,Y,Y,Post,NOR,VER,PIA,TSU,,Post,PIA,NOR,VER,ANT,,,VER,NOR,PIA,SAI,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilW,Y,Y,Post,VER,RUS,LEC,NOR,,Post,PIA,NOR,VER,LAW,,Yes,NOR,PIA,RUS,ALO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StevenR,Y,Y,Post,VER,PIA,NOR,LAW,,Post,VER,PIA,NOR,LAW,,Yes,NOR,VER,PIA,ANT,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomasM,Y,Y,Post,VER,NOR,LEC,BEA,,Post,NOR,VER,LEC,LAW,,Yes,PIA,NOR,HAM,DOO,TSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StephenD,Y,Y,Post,NOR,PIA,VER,HAM,,Post,PIA,NOR,VER,LAW,,,NOR,VER,LEC,DOO,LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
